#Query ID,#Subject,#Subject accession,#Subject Taxonomy ID,#Identity percentage,#Coverage,#evalue,#bitscore,#Source,#Taxonomy
ESV_1,Eukaryota/Bacillariophyta/Fragilariophyceae/Thalassionematales/Thalassionemataceae/Thalassionema/Thalassionema_frauenfeldii,Eukaryota/Bacillariophyta/Fragilariophyceae/Thalassionematales/Thalassionemataceae/Thalassionema/Thalassionema_frauenfeldii,N/A,99620,100,1.7E-134,481,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2117,Eukaryota/Bacillariophyta/Mediophyceae/Chaetocerotales/Chaetocerotaceae/Chaetoceros/Chaetoceros_radicans,Eukaryota/Bacillariophyta/Mediophyceae/Chaetocerotales/Chaetocerotaceae/Chaetoceros/Chaetoceros_radicans,N/A,99618,99,6.13E-134,479,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2118,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp._(in:_Bacillariophyta),Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp._(in:_Bacillariophyta),N/A,84962,100,1.87E-69,265,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2119,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Cylindrotheca/Cylindrotheca_closterium,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Cylindrotheca/Cylindrotheca_closterium,N/A,98099,100,7.98E-128,459,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2120,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp._(in:_Bacillariophyta),Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp._(in:_Bacillariophyta),N/A,96578,100,3.74E-121,436,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2121,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Surirellaceae/Auricula/Auricula_complexa,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Surirellaceae/Auricula/Auricula_complexa,N/A,90421,99,2.33E-93,344,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2122,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Sellaphoraceae/Sellaphora/Sellaphora_saugerresii,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Sellaphoraceae/Sellaphora/Sellaphora_saugerresii,N/A,95437,100,3.77E-116,420,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2123,Eukaryota/Bacillariophyta/Bacillariophyceae/Achnanthales/Cocconeidaceae/Cocconeis/Cocconeidaceae_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Achnanthales/Cocconeidaceae/Cocconeis/Cocconeidaceae_sp,N/A,95437,100,3.77E-116,420,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2124,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_sp,N/A,95019,99,2.27E-113,411,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2125,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_linearis,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_linearis,N/A,95057,100,1.75E-114,414,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2126,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf._spathulata,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf._spathulata,N/A,97701,99,4.81E-125,449,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2127,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf._spathulata,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf._spathulata,N/A,93870,99,2.28E-108,394,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2129,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf._spathulata,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf._spathulata,N/A,96578,100,3.74E-121,436,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2130,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Seminavis/Seminavis_robusta,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Seminavis/Seminavis_robusta,N/A,96958,100,8.04E-123,442,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2131,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Stauroneidaceae/Sternimirus/Sternimirus_shandongensis,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Stauroneidaceae/Sternimirus/Sternimirus_shandongensis,N/A,95817,100,8.1E-118,425,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2132,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Cylindrotheca/Cylindrotheca_closterium,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Cylindrotheca/Cylindrotheca_closterium,N/A,96198,100,1.74E-119,431,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2133,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Halamphora/Halamphora_isumiensis,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Halamphora/Halamphora_isumiensis,N/A,98479,100,1.72E-129,464,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2134,Eukaryota/Bacillariophyta/Mediophyceae/Lithodesmiales/Lithodesmiaceae/Helicotheca/Helicotheca_tamesis,Eukaryota/Bacillariophyta/Mediophyceae/Lithodesmiales/Lithodesmiaceae/Helicotheca/Helicotheca_tamesis,N/A,95420,99,1.36E-115,418,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2135,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf._spathulata,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf._spathulata,N/A,97338,100,1.73E-124,448,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2136,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Cylindrotheca/Cylindrotheca_closterium,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Cylindrotheca/Cylindrotheca_closterium,N/A,93893,99,6.35E-109,396,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2137,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Pleurosigmataceae/Pleurosigma/Pleurosigma_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Pleurosigmataceae/Pleurosigma/Pleurosigma_sp,N/A,93916,100,1.77E-109,398,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2138,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Stauroneidaceae/Astartiella/Astartiella_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Stauroneidaceae/Astartiella/Astartiella_sp,N/A,93130,99,1.37E-105,385,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2139,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp._(in:_Bacillariophyta),Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp._(in:_Bacillariophyta),N/A,96958,100,8.04E-123,442,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2140,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf._spathulata,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf._spathulata,N/A,98467,99,2.22E-128,460,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2141,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Cylindrotheca/Cylindrotheca_closterium,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Cylindrotheca/Cylindrotheca_closterium,N/A,97719,100,3.71E-126,453,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2142,Eukaryota/Bacillariophyta/Bacillariophyceae/Cymbellales/Cymbellaceae/Cymbella/Cymbella_tumida,Eukaryota/Bacillariophyta/Bacillariophyceae/Cymbellales/Cymbellaceae/Cymbella/Cymbella_tumida,N/A,94677,100,8.16E-113,409,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2144,Eukaryota/Bacillariophyta/Fragilariophyceae/Licmophorales/Licmophoraceae/Licmophora/Licmophora_sp.,Eukaryota/Bacillariophyta/Fragilariophyceae/Licmophorales/Licmophoraceae/Licmophora/Licmophora_sp,N/A,91571,99,2.32E-98,361,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2145,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Plagiotropidaceae/Plagiotropis/Plagiotropis_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Plagiotropidaceae/Plagiotropis/Plagiotropis_sp,N/A,94636,99,1.05E-111,405,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2146,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp._(in:_Bacillariophyta),Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp._(in:_Bacillariophyta),N/A,95057,100,1.75E-114,414,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2147,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Bleakeleya/Bleakeleya_notata,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Bleakeleya/Bleakeleya_notata,N/A,96578,100,3.74E-121,436,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2148,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Haslea/Haslea_howeana,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Haslea/Haslea_howeana,N/A,98467,99,2.22E-128,460,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2149,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Pinnulariaceae/Pinnularia/Pinnularia_sp._NE-P02,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Pinnulariaceae/Pinnularia/Pinnularia_sp._NE-P02,N/A,95057,100,1.75E-114,414,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2150,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Haslea/Haslea_nipkowii,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Haslea/Haslea_nipkowii,N/A,87308,99,1.84E-79,298,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2153,Eukaryota/Bacillariophyta/Bacillariophyceae/Cymbellales/Rhoicospheniaceae/Gomphonemopsis/Gomphonemopsis_cf._pseudoexigua,Eukaryota/Bacillariophyta/Bacillariophyceae/Cymbellales/Rhoicospheniaceae/Gomphonemopsis/Gomphonemopsis_cf._pseudoexigua,N/A,90805,99,5.01E-95,350,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2154,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Entomoneidaceae/Entomoneis/Entomoneis_umbratica,Eukaryota/Bacillariophyta/Bacillariophyceae/Surirellales/Entomoneidaceae/Entomoneis/Entomoneis_umbratica,N/A,95817,100,8.1E-118,425,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2155,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Haslea/Haslea_howeana,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Haslea/Haslea_howeana,N/A,97701,99,4.81E-125,449,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2156,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Stauroneidaceae/Astartiella/Astartiella_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Stauroneidaceae/Astartiella/Astartiella_sp,N/A,93487,99,1.06E-106,388,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2157,Eukaryota/Bacillariophyta/Coscinodiscophyceae/Paraliales/Paraliaceae/Paralia/Paralia_longispina,Eukaryota/Bacillariophyta/Coscinodiscophyceae/Paraliales/Paraliaceae/Paralia/Paralia_longispina,N/A,98859,100,3.69E-131,470,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2158,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_waldeniana,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_waldeniana,N/A,96578,100,3.74E-121,436,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2159,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Diploneidaceae/Diploneis/Diploneis_cf._smithii,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Diploneidaceae/Diploneis/Diploneis_cf._smithii,N/A,98099,100,7.98E-128,459,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2160,Eukaryota/Bacillariophyta/Mediophyceae/Thalassiosirales/Thalassiosiraceae/Thalassiosira/Thalassiosira_punctigera,Eukaryota/Bacillariophyta/Mediophyceae/Thalassiosirales/Thalassiosiraceae/Thalassiosira/Thalassiosira_punctigera,N/A,99620,100,1.7E-134,481,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2161,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Hyalosynedra/Hyalosynedra_al-shareefii,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Hyalosynedra/Hyalosynedra_al-shareefii,N/A,98479,100,1.72E-129,464,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2162,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_obtusa_var._crassa,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_obtusa_var._crassa,N/A,92015,100,3.85E-101,370,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2163,Eukaryota/Bacillariophyta/Mediophyceae/Chaetocerotales/Chaetocerotaceae/Bacteriastrum/Bacteriastrum_furcatum,Eukaryota/Bacillariophyta/Mediophyceae/Chaetocerotales/Chaetocerotaceae/Bacteriastrum/Bacteriastrum_furcatum,N/A,97719,100,3.71E-126,453,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2164,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Haslea/Haslea_cf._howeana,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Haslea/Haslea_cf._howeana,N/A,97338,100,1.73E-124,448,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2165,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Halamphora/Halamphora_maritima,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Halamphora/Halamphora_maritima,N/A,98069,98,1.34E-125,451,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2166,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_acidoclinata,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_acidoclinata,N/A,94677,100,8.16E-113,409,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2167,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_obtusa_var._crassa,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_obtusa_var._crassa,N/A,90875,99,1.39E-95,351,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2168,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_sp,N/A,98099,100,7.98E-128,459,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2169,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_sp,N/A,97719,100,3.71E-126,453,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2171,Eukaryota/Bacillariophyta/Mediophyceae/Chaetocerotales/Acanthocerataceae/Acanthoceras/Acanthoceras_sp.,Eukaryota/Bacillariophyta/Mediophyceae/Chaetocerotales/Acanthocerataceae/Acanthoceras/Acanthoceras_sp,N/A,81369,98,3.19E-52,207,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2172,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_proteus,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_proteus,N/A,93893,99,6.35E-109,396,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2173,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_frustulum,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_frustulum,N/A,95785,99,1.05E-116,422,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2174,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf_sigma,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf_sigma,N/A,95802,99,2.91E-117,424,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2175,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf._spathulata,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf._spathulata,N/A,96578,100,3.74E-121,436,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2176,Eukaryota/Bacillariophyta/Bacillariophyceae/Achnanthales/Achnanthidiaceae/Planothidium/Planothidium_cf._subantarcticum,Eukaryota/Bacillariophyta/Bacillariophyceae/Achnanthales/Achnanthidiaceae/Planothidium/Planothidium_cf._subantarcticum,N/A,93462,99,3.82E-106,387,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2177,Eukaryota/Bacillariophyta/Mediophyceae/Triceratiales/Triceratiaceae/Odontella/Odontella_mobiliensis,Eukaryota/Bacillariophyta/Mediophyceae/Triceratiales/Triceratiaceae/Odontella/Odontella_mobiliensis,N/A,97719,100,3.71E-126,453,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2178,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_capitellata,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_capitellata,N/A,94297,100,3.79E-111,403,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2179,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Rhoikoneis/Rhoikoneis_pagoensis,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Rhoikoneis/Rhoikoneis_pagoensis,N/A,99620,100,1.7E-134,481,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2180,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Navicula/Navicula_oblonga,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Navicula/Navicula_oblonga,N/A,95817,100,8.1E-118,425,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2181,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Halamphora/Halamphora_bicapitata,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Halamphora/Halamphora_bicapitata,N/A,97338,100,1.73E-124,448,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2182,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Bleakeleya/Bleakeleya_notata,Eukaryota/Bacillariophyta/Fragilariophyceae/Fragilariales/Fragilariaceae/Bleakeleya/Bleakeleya_notata,N/A,97338,100,1.73E-124,448,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2183,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Pseudo-nitzschia/Pseudo-nitzschia_delicatissima,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Pseudo-nitzschia/Pseudo-nitzschia_delicatissima,N/A,98479,100,1.72E-129,464,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2184,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp._(in:_Bacillariophyta),Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_sp._(in:_Bacillariophyta),N/A,97719,100,3.71E-126,453,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2185,Eukaryota/Bacillariophyta/Bacillariophyceae/Cymbellales/Gomphonemataceae/Gomphonella/Gomphonella_olivacea,Eukaryota/Bacillariophyta/Bacillariophyceae/Cymbellales/Gomphonemataceae/Gomphonella/Gomphonella_olivacea,N/A,94677,100,8.16E-113,409,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2186,Eukaryota/Bacillariophyta/Bacillariophyceae/Mastogloiales/Mastogloiaceae/Mastogloia/Mastogloia_aquilegiae,Eukaryota/Bacillariophyta/Bacillariophyceae/Mastogloiales/Mastogloiaceae/Mastogloia/Mastogloia_aquilegiae,N/A,95057,100,1.75E-114,414,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2187,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Thalassiophysales/Catenulaceae/Amphora/Amphora_sp,N/A,97701,99,4.81E-125,449,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2188,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_inconspicua,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_inconspicua,N/A,98467,99,2.22E-128,460,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2189,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf._spathulata,Eukaryota/Bacillariophyta/Bacillariophyceae/Bacillariales/Bacillariaceae/Nitzschia/Nitzschia_cf._spathulata,N/A,97719,100,3.71E-126,453,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2190,Eukaryota/Bacillariophyta/Bacillariophyceae/Cymbellales/Gomphonemataceae/Gomphonella/Gomphonella_olivacea,Eukaryota/Bacillariophyta/Bacillariophyceae/Cymbellales/Gomphonemataceae/Gomphonella/Gomphonella_olivacea,N/A,95057,100,1.75E-114,414,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
ESV_2191,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Navicula/Navicula_sp.,Eukaryota/Bacillariophyta/Bacillariophyceae/Naviculales/Naviculaceae/Navicula/Navicula_sp,N/A,99234,99,1.03E-131,472,Genbank,unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
